lon lat z
61.25 16.25 164.0493774414062
61.25 16.75 62.44691467285156
61.25 17.25 0
61.25 17.75 -41.27901077270508
61.25 18.25 -49.98765563964844
61.25 18.75 -46
61.25 19.25 -71.1283950805664
61.25 19.75 -100
61.25 20.25 -122
61.25 20.75 -75.15555572509766
61.25 21.25 -14.06172847747803
61.25 21.75 31.01570701599121
61.25 22.25 47.22921371459961
61.25 22.75 95.45596313476562
61.25 23.25 122.1950073242188
61.25 23.75 97.63740539550781
61.25 24.25 109.8138198852539
61.25 24.75 100
61.25 25.25 157.9410247802734
61.25 25.75 111.3855514526367
61.25 26.25 83
61.25 26.75 99.44197845458984
61.25 27.25 89.22222137451172
61.25 27.75 99.77777862548828
61.25 28.25 76
61.25 28.75 87.82716369628906
61.25 29.25 80
61.25 29.75 36.83950805664062
61.25 30.25 4
61.25 30.75 4
61.25 31.25 4
61.25 31.75 4
61.25 32.25 70
61.25 32.75 57.77777862548828
61.25 33.25 94.22222137451172
61.25 33.75 139.4444427490234
61.25 34.25 141.1382751464844
61.25 34.75 50
61.25 35.25 75
61.25 35.75 33
61.25 36.25 33
61.25 36.75 98.06666564941406
61.25 37.25 183.7234497070312
61.25 37.75 212.7777709960938
61.25 38.25 160
61.25 38.75 117
61.25 39.25 162.2222290039062
61.75 16.25 157.0098724365234
61.75 16.75 154.7091369628906
61.75 17.25 59.0444450378418
61.75 17.75 -62.29530715942383
61.75 18.25 -72
61.75 18.75 -21.84444427490234
61.75 19.25 -58
61.75 19.75 -84.8804931640625
61.75 20.25 -125.924446105957
61.75 20.75 -75.66666412353516
61.75 21.25 -17.48888969421387
61.75 21.75 39.26666641235352
61.75 22.25 79.9111099243164
61.75 22.75 126.9555587768555
61.75 23.25 93.4233169555664
61.75 23.75 95
61.75 24.25 162.3028717041016
61.75 24.75 99.45841217041016
61.75 25.25 114.3686065673828
61.75 25.75 98.34624481201172
61.75 26.25 94
61.75 26.75 98
61.75 27.25 106
61.75 27.75 78.1718521118164
61.75 28.25 76
61.75 28.75 76
61.75 29.25 76
61.75 29.75 100
61.75 30.25 92.27802276611328
61.75 30.75 38.9555549621582
61.75 31.25 80.01728057861328
61.75 31.75 99
61.75 32.25 88.95555877685547
61.75 32.75 116.9269104003906
61.75 33.25 90
61.75 33.75 100.0444412231445
61.75 34.25 178.2890167236328
61.75 34.75 33
61.75 35.25 33
61.75 35.75 33
61.75 36.25 63.96049499511719
61.75 36.75 45.0444450378418
61.75 37.25 120.0888900756836
61.75 37.75 120
61.75 38.25 190
61.75 38.75 134
61.75 39.25 103.9980239868164
62.25 16.25 440.0148010253906
62.25 16.75 178
62.25 17.25 52.71555709838867
