DATE,TIME,TAIR,RH,TCNR4,KINC,KOUT,LINC,LOUT,WSPD1,WSPD2,WINDDIR,SR50
5/7/2016,13:00:00,-1.75,73.98,1.01,601.09,411.19,299.37,320.38,1.44,1.79,248.97,1.06
5/7/2016,14:00:00,-0.46,68.08,1.64,743.22,541.31,301.15,323.3,1.32,1.39,256.67,1.05
5/7/2016,15:00:00,-2.5,81.13,-0.33,487.5,366.43,298.15,314.14,0.97,0.98,267.78,1.05
5/7/2016,16:00:00,-1.69,79.45,-0.27,467.19,352.2,301.43,314.41,1.5,1.66,248.7,1.05
5/7/2016,17:00:00,0.16,69.29,1.93,761.41,577.02,280.71,324.7,0.73,0.63,336.38,NA
5/7/2016,18:00:00,-3.09,88.92,-0.05,156.27,121.44,289.02,315.5,1.36,1.44,243.44,1.04
5/7/2016,19:00:00,-4.37,96.5,-2.45,10.5,8.51,293.56,304.5,1.77,1.87,246.07,1.04
5/7/2016,20:00:00,-5,95.53,-3.16,0,0,290.17,301.31,1.33,1.36,239.75,NA
5/7/2016,21:00:00,-5.35,95.15,-3.62,0,0,287.37,299.25,1.18,1.2,241.44,1.04
5/7/2016,22:00:00,-5.63,94.7,-3.89,0,0,284.16,298.08,0.5,0.35,108,1.04
5/7/2016,23:00:00,-6.2,93.77,-5.29,0,0,259.15,291.9,0.76,0.75,25.26,1.04
5/8/2016,0:00:00,-7.24,91.88,-7.29,0,0,232.49,283.32,0.48,0.49,54.82,NA
5/8/2016,1:00:00,-6.8,93.58,-7.29,0,0,251.75,283.31,0.78,1.08,90.09,1.04
5/8/2016,2:00:00,-6.57,94.07,-6.34,0,0,277.55,287.37,0.81,1.2,72.03,1.04
5/8/2016,3:00:00,-6.59,94,-6.87,0,0,261.88,285.07,0.78,1.03,125.17,1.04
5/8/2016,4:00:00,-7.29,91.83,-8.32,0,0,238.62,278.95,0.43,0.58,36.15,1.04
5/8/2016,5:00:00,-7.7,89.48,-9.18,0,0,238.02,275.31,0.73,0.87,43.25,1.04
5/8/2016,6:00:00,-8.35,87.23,-10.12,6.62,9.9,215.42,271.4,0.74,1.14,65.83,1.04
5/8/2016,7:00:00,-6.73,81.55,-9.3,173.24,79.48,225.21,274.84,1.06,1.33,64.73,NA
5/8/2016,8:00:00,-4.6,73.59,-6.81,488.47,228.52,241.42,285.37,1.17,0.74,100.85,1.05
5/8/2016,9:00:00,-3.66,77.26,-4.27,537.83,279.6,223,296.4,0.66,0.74,93.95,NA
5/8/2016,10:00:00,-4.1,87.28,-3.34,432.17,307.25,280.63,300.53,1.07,1.24,349.27,1.05
5/8/2016,11:00:00,-2.78,86.11,-0.86,503.76,361.21,291.45,311.72,1.39,1.46,298.23,NA
5/8/2016,12:00:00,-2.06,83.82,-0.69,453.53,344.62,299.42,312.49,1.2,1.24,280.8,1.05
5/8/2016,13:00:00,-0.95,80.52,0.77,731.13,550.89,305.32,319.24,1.43,1.52,262.61,NA
5/8/2016,14:00:00,-1.96,89.23,-0.49,534.71,413.91,304.73,313.41,2.95,3.37,259.8,NA
5/8/2016,15:00:00,-0.74,84.37,0.55,725.85,557.15,305.36,318.22,1.71,1.86,265.54,NA
5/8/2016,16:00:00,-2.37,93.3,-0.7,337.9,261.69,303.32,312.45,3.17,3.63,253.1,NA
5/8/2016,17:00:00,-2.8,96.2,-1.71,219.9,170.23,300.29,307.82,3.14,3.39,245.82,1.05
5/8/2016,18:00:00,-3.49,96.53,-1.98,120.8,91.1,292.08,306.62,1.68,1.72,275.05,NA
5/8/2016,19:00:00,-3.75,93.72,-4.5,21.46,21.29,234.56,295.39,0.8,1.69,65.25,NA
5/8/2016,20:00:00,-4.06,82.88,-6.68,0,0,215.12,285.89,0.95,2.34,62.32,1.05
5/8/2016,21:00:00,-3.93,78.23,-6.65,0,0,240.48,286.05,0.87,1.39,40.85,1.05
5/8/2016,22:00:00,-4.12,75.78,-7.43,0,0,225.48,282.72,0.85,1.79,64.75,1.04
