stage height [m],standard error [m3/s]
0,3.726095606
0.003,3.725476642
0.006,3.723407279
0.009,3.719813011
0.012,3.714686124
0.015,3.708038766
0.018,3.699892144
0.021,3.690272263
0.024,3.679207866
0.027,3.666729314
0.03,3.652867922
0.033,3.637655553
0.036,3.621124342
0.039,3.60330653
0.042,3.584234333
0.045,3.563939867
0.048,3.542455084
0.051,3.519811736
0.054,3.496041343
0.057,3.471175177
0.06,3.445244253
0.063,3.418279312
0.066,3.390310827
0.069,3.361368992
0.072,3.331483731
0.075,3.300684691
0.078,3.269001256
0.081,3.236462536
0.084,3.20309739
0.087,3.16893441
0.09,3.134001935
0.093,3.098328064
0.096,3.061940645
0.099,3.024867305
0.102,2.987135416
0.105,2.948772137
0.108,2.909804405
0.111,2.870258938
0.114,2.830162239
0.117,2.789540612
0.12,2.748420154
0.123,2.706826758
0.126,2.664786142
0.129,2.622323807
0.132,2.579465119
0.135,2.536235214
0.138,2.492659082
0.141,2.448761515
0.144,2.404567192
0.147,2.360100585
0.15,2.315386004
0.153,2.270447642
0.156,2.22530952
0.159,2.179995493
0.162,2.134529317
0.165,2.088934606
0.168,2.043234798
0.171,1.997453231
0.174,1.951613126
0.177,1.905737585
0.18,1.859849557
0.183,1.813971953
0.186,1.768127506
0.189,1.72233887
0.192,1.676628663
0.195,1.631019295
0.198,1.585533216
0.201,1.540192716
0.204,1.495020089
0.207,1.450037479
0.21,1.405267063
0.213,1.36073095
0.216,1.316451183
0.219,1.272449876
0.222,1.228749085
0.225,1.185370838
0.228,1.142337313
0.231,1.099670645
0.234,1.057393112
0.237,1.015527097
0.24,0.974095088
0.243,0.93311986
0.246,0.892624339
0.249,0.852631852
0.252,0.813166058
0.255,0.774251054
0.258,0.735911557
0.261,0.698173105
0.264,0.661061944
0.267,0.624605637
0.27,0.588833048
0.273,0.55377471
0.276,0.519463393
0.279,0.485934751
0.282,0.453227748
0.285,0.421386028
0.288,0.390459009
0.291,0.360503685
0.294,0.331587114
0.297,0.303789434
0.3,0.277208345
0.303,0.251964718
0.306,0.228209952
0.309,0.206135067
0.312,0.185980287
0.315,0.168042481
0.318,0.15267274
0.321,0.140251687
0.324,0.13112776
0.327,0.125516349
0.33,0.123393968
0.333,0.124452141
0.336,0.128152174
0.339,0.133848083
0.342,0.140906143
0.345,0.148775433
0.348,0.157009915
0.351,0.165262355
0.354,0.173266287
0.357,0.180817981
0.36,0.187760485
0.363,0.193971347
0.366,0.199353762
0.369,0.203830237
0.372,0.207337337
0.375,0.209822667
0.378,0.21124296
0.381,0.211561409
0.384,0.210747255
0.387,0.208775409
0.39,0.205625299
0.393,0.201281762
0.396,0.195735374
0.399,0.188984096
0.402,0.181034491
0.405,0.171906468
0.408,0.161638707
0.411,0.150298838
0.414,0.1380013
0.417,0.124939919
0.42,0.111447304
0.423,0.09810857
0.426,0.085962401
0.429,0.076777871
0.432,0.073072336
0.435,0.077067802
0.438,0.089039297
0.441,0.107503507
0.444,0.130755817
0.447,0.157601038
0.45,0.187322322
0.453,0.219503357
0.456,0.253899649
0.459,0.290364364
0.462,0.328808415
0.465,0.36917676
0.468,0.411436463
0.471,0.455568635
0.474,0.50156356
0.477,0.549417816
0.48,0.599132894
0.483,0.650713298
0.486,0.704165863
0.489,0.759498607
0.492,0.816722106
0.495,0.87584645
0.498,0.93688364
