stage height [m],standard error [m3/s]
0,0.264772293
0.003,0.264772293
0.006,0.264772293
0.009,0.26477229
0.012,0.264772287
0.015,0.264772275
0.018,0.264772238
0.021,0.264772168
0.024,0.264772061
0.027,0.264771869
0.03,0.264771572
0.033,0.264771133
0.036,0.264770499
0.039,0.264769617
0.042,0.26476841
0.045,0.26476683
0.048,0.264764749
0.051,0.264762108
0.054,0.264758766
0.057,0.26475461
0.06,0.264749508
0.063,0.264743302
0.066,0.264735832
0.069,0.264726925
0.072,0.26471638
0.075,0.264703988
0.078,0.264689518
0.081,0.264672747
0.084,0.264653423
0.087,0.264631259
0.09,0.264605962
0.093,0.264577247
0.096,0.264544786
0.099,0.264508236
0.102,0.264467252
0.105,0.264421441
0.108,0.264370447
0.111,0.264313835
0.114,0.264251197
0.117,0.264182093
0.12,0.264106059
0.123,0.264022622
0.126,0.263931301
0.129,0.263831587
0.132,0.263722956
0.135,0.263604866
0.138,0.263476759
0.141,0.26333808
0.144,0.263188236
0.147,0.263026627
0.15,0.262852638
0.153,0.262665642
0.156,0.262465
0.159,0.262250045
0.162,0.262020138
0.165,0.261774574
0.168,0.261512665
0.171,0.261233727
0.174,0.260937037
0.177,0.260621872
0.18,0.260287515
0.183,0.259933218
0.186,0.259558241
0.189,0.259161844
0.192,0.258743259
0.195,0.258301739
0.198,0.257836515
0.201,0.257346829
0.204,0.256831908
0.207,0.256290997
0.21,0.255723324
0.213,0.255128146
0.216,0.254504683
0.219,0.253852193
0.222,0.253169944
0.225,0.252457179
0.228,0.251713191
0.231,0.250937245
0.234,0.250128665
0.237,0.249286739
0.24,0.24841081
0.243,0.247500223
0.246,0.246554349
0.249,0.245572579
0.252,0.244554317
0.255,0.243499032
0.258,0.242406176
0.261,0.241275262
0.264,0.240105827
0.267,0.238897444
0.27,0.237649742
0.273,0.23636236
0.276,0.235035026
0.279,0.233667483
0.282,0.232259538
0.285,0.23081107
0.288,0.229321981
0.291,0.227792278
0.294,0.226222027
0.297,0.224611335
0.3,0.222960417
0.303,0.221269579
0.306,0.219539182
0.309,0.217769709
0.312,0.215961726
0.315,0.214115914
0.318,0.212233061
0.321,0.210314068
0.324,0.208359973
0.327,0.206371937
0.33,0.204351266
0.333,0.202299424
0.336,0.200218016
0.339,0.198108835
0.342,0.195973829
0.345,0.193815154
0.348,0.191635163
0.351,0.1894364
0.354,0.187221643
0.357,0.184993904
0.36,0.182756426
0.363,0.180512724
0.366,0.17826657
0.369,0.176022008
0.372,0.173783389
0.375,0.171555356
0.378,0.169342839
0.381,0.16715111
0.384,0.164985755
0.387,0.162852672
0.39,0.160758085
0.393,0.158708539
0.396,0.156710877
0.399,0.154772231
0.402,0.152900009
0.405,0.15110185
0.408,0.149385596
0.411,0.14775923
0.414,0.146230839
0.417,0.144808528
0.42,0.143500359
0.423,0.142314251
0.426,0.141257889
0.429,0.140338627
0.432,0.139563372
0.435,0.138938481
0.438,0.138469647
0.441,0.138161806
0.444,0.138019024
0.447,0.138044434
0.45,0.13824014
0.453,0.138607195
0.456,0.139145544
0.459,0.139854022
0.462,0.140730366
0.465,0.141771236
0.468,0.142972272
0.471,0.144328135
0.474,0.145832606
0.477,0.147478635
0.48,0.149258478
0.483,0.151163722
0.486,0.153185417
0.489,0.155314168
0.492,0.157540179
0.495,0.159853352
0.498,0.162243338
0.501,0.16469962
0.504,0.167211535
0.507,0.169768332
0.51,0.172359187
0.513,0.174973257
0.516,0.177599714
0.519,0.180227709
0.522,0.182846422
0.525,0.185445072
0.528,0.188012873
0.531,0.190539184
0.534,0.193013245
0.537,0.19542445
0.54,0.197762202
0.543,0.200015912
0.546,0.202175025
0.549,0.204229056
0.552,0.206167501
0.555,0.207979856
0.558,0.209655837
0.561,0.211184893
0.564,0.212556774
0.567,0.21376111
0.57,0.214787735
0.573,0.215626389
0.576,0.216267016
0.579,0.216699692
0.582,0.216914622
0.585,0.216902106
0.588,0.216652813
0.591,0.216157691
0.594,0.215407942
0.597,0.214395379
0.6,0.213112182
0.603,0.211551469
0.606,0.209706994
0.609,0.207573615
0.612,0.205147623
0.615,0.202426763
0.618,0.199410822
0.621,0.196102017
0.624,0.192505709
0.627,0.18863093
0.63,0.184491528
0.633,0.180107344
0.636,0.175505406
0.639,0.170722297
0.642,0.165806062
0.645,0.160819188
0.648,0.1558419
0.651,0.15097623
0.654,0.146349634
0.657,0.142118981
0.66,0.138472432
0.663,0.135628487
0.666,0.133829609
0.669,0.133328962
0.672,0.134370224
0.675,0.137163485
0.678,0.141863675
0.681,0.148558194
0.684,0.157267689
0.687,0.167958099
0.69,0.180558879
0.693,0.19498106
0.696,0.211131816
0.699,0.228923812
