stage height [m],standard error [m3/s]
0,1.423601135
0.003,1.423593693
0.006,1.423562464
0.009,1.423500432
0.012,1.423403267
0.015,1.423267798
0.018,1.423091537
0.021,1.422872457
0.024,1.422608863
0.027,1.422299317
0.03,1.421942581
0.033,1.42153758
0.036,1.421083376
0.039,1.420579146
0.042,1.420024164
0.045,1.419417789
0.048,1.418759456
0.051,1.418048666
0.054,1.417284978
0.057,1.416468003
0.06,1.4155974
0.063,1.414672871
0.066,1.413694158
0.069,1.412661038
0.072,1.41157332
0.075,1.410430844
0.078,1.409233478
0.081,1.407981116
0.084,1.406673677
0.087,1.405311101
0.09,1.403893348
0.093,1.402420401
0.096,1.400892258
0.099,1.399308937
0.102,1.39767047
0.105,1.395976906
0.108,1.394228308
0.111,1.392424753
0.114,1.390566329
0.117,1.388653139
0.12,1.386685297
0.123,1.384662928
0.126,1.382586166
0.129,1.380455158
0.132,1.378270059
0.135,1.376031032
0.138,1.373738251
0.141,1.371391898
0.144,1.368992162
0.147,1.366539241
0.15,1.364033339
0.153,1.361474667
0.156,1.358863445
0.159,1.356199898
0.162,1.353484258
0.165,1.35071676
0.168,1.34789765
0.171,1.345027176
0.174,1.342105592
0.177,1.339133158
0.18,1.336110139
0.183,1.333036804
0.186,1.329913428
0.189,1.326740289
0.192,1.323517671
0.195,1.32024586
0.198,1.316925149
0.201,1.313555833
0.204,1.310138211
0.207,1.306672587
0.21,1.303159267
0.213,1.299598562
0.216,1.295990785
0.219,1.292336253
0.222,1.288635288
0.225,1.284888211
0.228,1.281095349
0.231,1.277257032
0.234,1.273373592
0.237,1.269445363
0.24,1.265472684
0.243,1.261455895
0.246,1.257395339
0.249,1.253291361
0.252,1.249144309
0.255,1.244954534
0.258,1.240722387
0.261,1.236448225
0.264,1.232132403
0.267,1.22777528
0.27,1.22337722
0.273,1.218938584
0.276,1.214459736
0.279,1.209941047
0.282,1.205382884
0.285,1.200785618
0.288,1.196149623
0.291,1.191475271
0.294,1.186762942
0.297,1.182013012
0.3,1.177225861
0.303,1.172401869
0.306,1.167541423
0.309,1.162644905
0.312,1.157712701
0.315,1.152745198
0.318,1.147742787
0.321,1.142705857
0.324,1.137634801
0.327,1.132530011
0.33,1.127391885
0.333,1.122220815
0.336,1.117017201
0.339,1.111781441
0.342,1.106513936
0.345,1.101215086
0.348,1.095885293
0.351,1.090524963
0.354,1.085134498
0.357,1.079714308
0.36,1.074264798
0.363,1.068786377
0.366,1.063279452
0.369,1.057744437
0.372,1.052181744
0.375,1.046591786
0.378,1.040974973
0.381,1.035331725
0.384,1.029662454
0.387,1.023967581
0.39,1.018247525
0.393,1.012502698
0.396,1.006733528
0.399,1.000940434
0.402,0.99512384
0.405,0.989284166
0.408,0.983421836
0.411,0.977537279
0.414,0.971630917
0.417,0.965703184
0.42,0.959754503
0.423,0.953785303
0.426,0.947796017
0.429,0.941787076
0.432,0.935758911
0.435,0.929711954
0.438,0.923646643
0.441,0.917563413
0.444,0.911462696
0.447,0.90534493
0.45,0.899210557
0.453,0.893060015
0.456,0.886893742
0.459,0.880712179
0.462,0.874515771
0.465,0.868304963
0.468,0.862080193
0.471,0.855841911
0.474,0.849590563
0.477,0.843326593
0.48,0.837050454
0.483,0.830762597
0.486,0.824463465
0.489,0.818153517
0.492,0.811833209
0.495,0.805502988
0.498,0.799163309
0.501,0.792814637
0.504,0.786457427
0.507,0.780092132
0.51,0.773719223
0.513,0.767339154
0.516,0.760952389
0.519,0.754559396
0.522,0.748160643
0.525,0.741756594
0.528,0.73534772
0.531,0.728934491
0.534,0.722517379
0.537,0.71609686
0.54,0.709673405
0.543,0.703247496
0.546,0.696819617
0.549,0.690390241
0.552,0.683959853
0.555,0.677528937
0.558,0.671097986
0.561,0.664667484
0.564,0.658237923
0.567,0.651809802
0.57,0.645383613
0.573,0.638959849
0.576,0.632539023
0.579,0.626121635
0.582,0.619708183
0.585,0.613299187
0.588,0.606895155
0.591,0.600496597
0.594,0.594104047
0.597,0.587718009
0.6,0.581339019
0.603,0.574967606
0.606,0.568604299
0.609,0.56224964
0.612,0.555904161
0.615,0.549568413
0.618,0.543242949
0.621,0.536928313
0.624,0.530625079
0.627,0.524333796
0.63,0.518055043
0.633,0.511789393
0.636,0.505537431
0.639,0.499299745
0.642,0.493076916
0.645,0.48686955
0.648,0.480678269
0.651,0.474503682
0.654,0.468346397
0.657,0.462207064
0.66,0.456086312
0.663,0.449984792
0.666,0.44390317
0.669,0.437842107
0.672,0.431802287
0.675,0.425784399
0.678,0.419789149
0.681,0.413817253
0.684,0.407869424
0.687,0.401946425
0.69,0.396048992
0.693,0.390177919
0.696,0.384333972
0.699,0.378517973
0.702,0.372730746
0.705,0.366973112
0.708,0.361245961
0.711,0.355550152
0.714,0.349886606
0.717,0.344256254
0.72,0.338660049
0.723,0.333098967
