stage height [m],standard error [m3/s]
0,0.078985293
0.003,0.077486174
0.006,0.075807306
0.009,0.074107411
0.012,0.072417061
0.015,0.070749424
0.018,0.069111611
0.021,0.067507988
0.024,0.065941491
0.027,0.064414234
0.03,0.062927836
0.033,0.061483597
0.036,0.060082611
0.039,0.05872584
0.042,0.057414137
0.045,0.056148291
0.048,0.054929042
0.051,0.053757077
0.054,0.052633046
0.057,0.051557561
0.06,0.050531188
0.063,0.049554449
0.066,0.04862781
0.069,0.047751673
0.072,0.04692637
0.075,0.046152152
0.078,0.045429173
0.081,0.044757493
0.084,0.044137051
0.087,0.04356767
0.09,0.043049046
0.093,0.042580737
0.096,0.042162161
0.099,0.041792596
0.102,0.041471178
0.105,0.041196904
0.108,0.040968637
0.111,0.040785112
0.114,0.040644946
0.117,0.040546648
0.12,0.040488632
0.123,0.040469232
0.126,0.040486714
0.129,0.040539291
0.132,0.04062514
0.135,0.040742415
0.138,0.040889259
0.141,0.041063818
0.144,0.041264257
0.147,0.041488762
0.15,0.041735557
0.153,0.042002907
0.156,0.04228913
0.159,0.042592594
0.162,0.042911729
0.165,0.04324503
0.168,0.043591051
0.171,0.043948414
0.174,0.044315809
0.177,0.044691993
0.18,0.045075781
0.183,0.04546606
0.186,0.045861778
0.189,0.046261941
0.192,0.046665615
0.195,0.047071924
0.198,0.047480046
0.201,0.047889208
0.204,0.048298688
0.207,0.048707813
0.21,0.049115951
0.213,0.049522517
0.216,0.04992696
0.219,0.050328771
0.222,0.050727475
0.225,0.051122631
0.228,0.051513832
0.231,0.051900695
0.234,0.052282873
0.237,0.052660038
0.24,0.053031892
0.243,0.05339816
0.246,0.053758586
0.249,0.054112938
0.252,0.054461002
0.255,0.054802582
0.258,0.055137507
0.261,0.055465605
0.264,0.055786741
0.267,0.056100776
0.27,0.056407601
0.273,0.056707108
0.276,0.056999205
0.279,0.057283816
0.282,0.057560873
0.285,0.057830316
0.288,0.0580921
0.291,0.058346188
0.294,0.058592548
0.297,0.058831168
0.3,0.059062032
0.303,0.059285139
0.306,0.05950049
0.309,0.059708111
0.312,0.059908005
0.315,0.060100212
0.318,0.060284762
0.321,0.060461699
0.324,0.060631063
0.327,0.060792909
0.33,0.060947304
0.333,0.061094306
0.336,0.061233993
0.339,0.061366438
0.342,0.061491726
0.345,0.061609943
0.348,0.061721186
0.351,0.061825553
0.354,0.061923151
0.357,0.062014093
0.36,0.062098488
0.363,0.062176464
0.366,0.062248142
0.369,0.062313659
0.372,0.062373157
0.375,0.062426766
0.378,0.062474647
0.381,0.062516945
0.384,0.062553828
0.387,0.062585451
0.39,0.062611993
0.393,0.062633625
0.396,0.062650532
0.399,0.062662901
0.402,0.062670928
0.405,0.062674804
0.408,0.06267474
0.411,0.062670944
0.414,0.062663635
0.417,0.062653038
0.42,0.062639378
0.423,0.062622892
0.426,0.062603821
0.429,0.062582414
0.432,0.062558923
0.435,0.062533608
0.438,0.06250674
0.441,0.062478586
0.444,0.062449428
0.447,0.062419554
0.45,0.062389252
0.453,0.062358822
0.456,0.062328573
0.459,0.062298812
0.462,0.062269857
0.465,0.06224203
0.468,0.062215665
0.471,0.062191094
0.474,0.062168662
0.477,0.062148714
0.48,0.062131603
0.483,0.062117686
0.486,0.062107328
0.489,0.062100897
0.492,0.062098766
0.495,0.062101311
0.498,0.062108911
0.501,0.062121957
0.504,0.06214083
0.507,0.062165927
0.51,0.062197637
0.513,0.062236357
0.516,0.062282482
0.519,0.062336413
0.522,0.062398549
0.525,0.062469282
0.528,0.062549016
0.531,0.062638145
0.534,0.062737065
0.537,0.062846164
0.54,0.062965836
0.543,0.063096463
0.546,0.063238427
0.549,0.063392104
0.552,0.063557863
0.555,0.063736067
0.558,0.063927075
0.561,0.064131233
0.564,0.064348882
0.567,0.064580355
0.57,0.064825973
0.573,0.065086051
0.576,0.065360885
0.579,0.065650769
0.582,0.06595598
0.585,0.066276786
0.588,0.066613442
0.591,0.06696619
0.594,0.067335257
0.597,0.067720862
0.6,0.068123205
0.603,0.068542476
0.606,0.06897885
0.609,0.069432489
0.612,0.069903541
0.615,0.070392141
0.618,0.070898409
0.621,0.071422454
0.624,0.071964371
0.627,0.072524237
0.63,0.073102127
0.633,0.073698091
0.636,0.07431218
0.639,0.074944424
0.642,0.075594844
0.645,0.076263451
0.648,0.076950243
0.651,0.07765521
0.654,0.078378334
0.657,0.079119585
0.66,0.079878926
0.663,0.080656306
0.666,0.081451678
0.669,0.08226498
0.672,0.083096138
0.675,0.083945082
0.678,0.084811734
0.681,0.085696002
0.684,0.086597794
0.687,0.087517023
0.69,0.088453585
0.693,0.089407377
0.696,0.090378288
0.699,0.091366213
